#instr,trace_type,trace_name,ALL-0.125x,ALL-0.25x,ALL-0.5x,ALL-1x
1M,clientservertraces,client_001.champsimtrace.xz,0.9706634335655111,0.9706634335655111,0.9706634335655111,0.9706634335655111
1M,clientservertraces,client_002.champsimtrace.xz,0.9676634986893592,0.9676621990952226,0.9676621990952226,0.9676621990952226
1M,clientservertraces,client_003.champsimtrace.xz,0.9995264520902701,0.9995264520902701,0.9995264520902701,0.9995264520902701
1M,clientservertraces,client_004.champsimtrace.xz,0.9905225008170258,0.99014000085,0.99014000085,0.99014000085
1M,clientservertraces,client_005.champsimtrace.xz,0.9648442910028284,0.9648442910028284,0.9648442910028284,0.9648442910028284
1M,clientservertraces,client_006.champsimtrace.xz,0.9875601090584919,0.987208727282192,0.987208727282192,0.987208727282192
1M,clientservertraces,client_007.champsimtrace.xz,1.015668390039058,1.0158377170207482,1.0158377170207482,1.0158377170207482
1M,clientservertraces,client_008.champsimtrace.xz,0.9894025457571645,0.9890115782242255,0.9890115782242255,0.9890115782242255
1M,clientservertraces,server_001.champsimtrace.xz,0.9337366870556769,0.9333033574887387,0.9333033574887387,0.9333033574887387
1M,clientservertraces,server_003.champsimtrace.xz,0.9216768546316055,0.9213440879661446,0.9213440879661446,0.9213440879661446
1M,clientservertraces,server_004.champsimtrace.xz,0.9470102761673063,0.9497868074242946,0.9497868074242946,0.9497868074242946
1M,clientservertraces,server_009.champsimtrace.xz,0.9256330420127753,0.925143959913959,0.925143959913959,0.925143959913959
1M,clientservertraces,server_010.champsimtrace.xz,0.9501925195227597,0.9542089114663417,0.9542089114663417,0.9542089114663417
1M,clientservertraces,server_011.champsimtrace.xz,0.9146294825881933,0.9140120886065694,0.9140120886065694,0.9140120886065694
1M,clientservertraces,server_012.champsimtrace.xz,0.9015041729231413,0.8943106819848448,0.8943106819848448,0.8943106819848448
1M,clientservertraces,server_013.champsimtrace.xz,0.9254332373847148,0.9246196322622335,0.9246196322622335,0.9246196322622335
1M,clientservertraces,server_014.champsimtrace.xz,1.0365838274252555,1.0374668853286237,1.0374668853286237,1.0374668853286237
1M,clientservertraces,server_016.champsimtrace.xz,0.9625221839440443,0.9614543359784267,0.9614543359784267,0.9614543359784267
1M,clientservertraces,server_017.champsimtrace.xz,0.9343769211082469,0.9339547719999051,0.9339547719999051,0.9339547719999051
1M,clientservertraces,server_018.champsimtrace.xz,0.9349652924720663,0.9382766599431709,0.9382766599431709,0.9382766599431709
1M,clientservertraces,server_019.champsimtrace.xz,0.9426327726036133,0.9456978436505201,0.9456978436505201,0.9456978436505201
1M,clientservertraces,server_020.champsimtrace.xz,0.9322404138104152,0.934974937979176,0.934974937979176,0.934974937979176
